Mouse,Tissue,MutationLoad,Age
365,Muscle,63.51,49
365,Muscle,64.78,49
365,Muscle,66.32,49
365,Muscle,67.46,49
365,Muscle,68.64,49
365,Muscle,70.25,49
365,Muscle,70.27,49
365,Muscle,70.99,49
365,Muscle,72.5,49
365,Muscle,74,49
365,Muscle,74.34,49
365,Muscle,74.56,49
365,Muscle,74.99,49
365,Muscle,76.13,49
365,Muscle,76.27,49
365,Muscle,76.65,49
365,Muscle,77.05,49
365,Muscle,77.69,49
365,Muscle,78.22,49
365,Muscle,80.73,49
372,Muscle,25.88,49
372,Muscle,70.25,49
372,Muscle,71.15,49
372,Muscle,71.66,49
372,Muscle,72.54,49
372,Muscle,72.82,49
372,Muscle,73.16,49
372,Muscle,73.37,49
372,Muscle,73.41,49
372,Muscle,74.21,49
372,Muscle,74.58,49
372,Muscle,74.65,49
372,Muscle,75.28,49
372,Muscle,75.73,49
372,Muscle,76.02,49
372,Muscle,76.28,49
372,Muscle,77.55,49
372,Muscle,77.62,49
372,Muscle,79.09,49
372,Muscle,80.63,49
B933,Muscle,65.21,10
B933,Muscle,67.52,10
B933,Muscle,68.55,10
B933,Muscle,68.99,10
B933,Muscle,70.12,10
B933,Muscle,70.85,10
B933,Muscle,71.94,10
B933,Muscle,72.91,10
B933,Muscle,73.41,10
B933,Muscle,73.58,10
B933,Muscle,74.35,10
B933,Muscle,74.84,10
B933,Muscle,75.75,10
B933,Muscle,77.38,10
B933,Muscle,80.16,10
B933,Muscle,80.84,10
B933,Muscle,84.24,10
B933,Muscle,,10
B933,Muscle,,10
B933,Muscle,,10
B934,Muscle,63.72,10
B934,Muscle,67.55,10
B934,Muscle,69.28,10
B934,Muscle,69.56,10
B934,Muscle,71.01,10
B934,Muscle,71.78,10
B934,Muscle,72.61,10
B934,Muscle,73.34,10
B934,Muscle,74.35,10
B934,Muscle,74.77,10
B934,Muscle,75.09,10
B934,Muscle,75.37,10
B934,Muscle,76.49,10
B934,Muscle,76.53,10
B934,Muscle,78.12,10
B934,Muscle,79.06,10
B934,Muscle,79.12,10
B934,Muscle,79.45,10
B934,Muscle,81.74,10
B934,Muscle,,10
